camera,datetime,day,hour,image_url,minute,month,occupancy,slot_id,weather,year,occupant_changed
A,20150703_0805,3,8,CNRPark/A/free/20150703_0805_1.jpg,5,7,0,1,S,2015,
A,20150703_0810,3,8,CNRPark/A/free/20150703_0810_1.jpg,10,7,0,1,S,2015,
A,20150703_0815,3,8,CNRPark/A/busy/20150703_0815_1.jpg,15,7,1,1,S,2015,0
A,20150703_0820,3,8,CNRPark/A/busy/20150703_0820_1.jpg,20,7,1,1,S,2015,0
A,20150703_0825,3,8,CNRPark/A/busy/20150703_0825_1.jpg,25,7,1,1,S,2015,0
A,20150703_0830,3,8,CNRPark/A/busy/20150703_0830_1.jpg,30,7,1,1,S,2015,0
A,20150703_0835,3,8,CNRPark/A/busy/20150703_0835_1.jpg,35,7,1,1,S,2015,0
A,20150703_0840,3,8,CNRPark/A/busy/20150703_0840_1.jpg,40,7,1,1,S,2015,0
A,20150703_0845,3,8,CNRPark/A/busy/20150703_0845_1.jpg,45,7,1,1,S,2015,0
A,20150703_0850,3,8,CNRPark/A/busy/20150703_0850_1.jpg,50,7,1,1,S,2015,0
A,20150703_0855,3,8,CNRPark/A/busy/20150703_0855_1.jpg,55,7,1,1,S,2015,0
A,20150703_0900,3,9,CNRPark/A/busy/20150703_0900_1.jpg,0,7,1,1,S,2015,0
A,20150703_0905,3,9,CNRPark/A/busy/20150703_0905_1.jpg,5,7,1,1,S,2015,0
A,20150703_0910,3,9,CNRPark/A/busy/20150703_0910_1.jpg,10,7,1,1,S,2015,0
A,20150703_0915,3,9,CNRPark/A/busy/20150703_0915_1.jpg,15,7,1,1,S,2015,0
A,20150703_0920,3,9,CNRPark/A/busy/20150703_0920_1.jpg,20,7,1,1,S,2015,0
A,20150703_0925,3,9,CNRPark/A/busy/20150703_0925_1.jpg,25,7,1,1,S,2015,0
A,20150703_0930,3,9,CNRPark/A/busy/20150703_0930_1.jpg,30,7,1,1,S,2015,0
A,20150703_0935,3,9,CNRPark/A/busy/20150703_0935_1.jpg,35,7,1,1,S,2015,0
